1;02-295;1;1;3C ;;Bn (C) 
2;02-295;2;2;3C ;;Bn (C) 
3;02-295;3;3;3C ;;Bn (C) 
4;02-295;4;4;3C ;;Bn (C) 
5;02-295;5;5;3C ;;Bn (C) 
6;02-295;6;6;2C ;;Bn (C) 
7;02-295;7;7;2C ;;Bn (C) 
8;02-295;8;8;D3C;;Bn (C) 
9;02-295;9;9;3C ;;Bn (C) 
10;02-295;10;10;3C ;;Bn (C) 
11;02-295;11;11;3C ;;Bn (C) 
12;02-295;12;12;3C ;;Bn (C) 
13;02-295;13;13;3C ;;Bn (C) 
14;02-295;14;14;2C ;;Bn (C) 
15;02-295;15;15;2C ;;Bn (C) 
16;02-295;16;16;D3C;;Bn (C) 
17;02-295;17;17;3C ;;Bn (C) 
18;02-295;18;18;3C ;;Bn (C) 
19;02-295;19;19;3C ;;Bn (C) 
20;02-295;20;20;3C ;;Bn (C) 
21;02-295;21;21;3C ;;Bn (C) 
22;02-295;22;22;2C ;;Bn (C) 
23;02-295;23;23;2C ;;Bn (C) 
24;02-295;24;24;D3C;;Bn (C) 
25;02-295;25;25;3C ;;Bn (C) 
26;02-295;26;26;3C ;;Bn (C) 
27;02-295;27;27;3C ;;Bn (C) 
28;02-295;28;28;3C ;;Bn (C) 
29;02-295;29;29;3C ;;Bn (C) 
30;02-295;30;30;2C ;;Bn (C) 
31;02-295;31;31;2C ;;Bn (C) 
32;02-295;32;32;D3C;;Bn (C) 
33;02-295;33;33;3C ;;Bn (C) 
34;02-295;34;34;3C ;;Bn (C) 
35;02-295;35;35;3C ;;Bn (C) 
36;02-295;36;36;3C ;;Bn (C) 
37;02-295;37;37;3C ;;Bn (C) 
38;02-295;38;38;2C ;;Bn (C) 
39;02-295;39;39;2C ;;Bn (C) 
40;02-295;40;40;D3C;;Bn (C) 
41;02-295;41;41;3C ;;Bn (C) 
42;02-295;42;42;3C ;;Bn (C) 
43;02-295;43;43;3C ;;Bn (C) 
44;02-295;44;44;3C ;;Bn (C) 
45;02-295;45;45;3C ;;Bn (C) 
46;02-295;46;46;2C ;;Bn (C) 
47;02-295;47;47;2C ;;Bn (C) 
48;02-295;48;48;D3C;;Bn (C) 
49;02-295;49;49;3C ;;Bn (C) 
50;02-295;50;50;3C ;;Bn (C) 
51;02-295;51;51;3C ;;Bn (C) 
52;02-295;52;52;3C ;;Bn (C) 
53;02-295;53;53;3C ;;Bn (C) 
54;02-295;54;54;2C ;;Bn (C) 
55;02-295;55;55;2C ;;Bn (C) 
56;02-295;56;56;D3C;;Bn (C) 
57;02-295;57;57;3C ;;Bn (C) 
58;02-295;58;58;3C ;;Bn (C) 
59;02-295;59;59;3C ;;Bn (C) 
60;02-295;60;60;3C ;;Bn (C) 
61;02-295;61;61;3C ;;Bn (C) 
62;02-295;62;62;2C ;;Bn (C) 
63;02-295;63;63;2C ;;Bn (C) 
64;02-295;64;64;D3C;;Bn (C) 
65;02-295;65;65;3C ;;Bn (C) 
66;02-295;66;66;3C ;;Bn (C) 
67;02-295;67;67;3C ;;Bn (C) 
68;02-295;68;68;3C ;;Bn (C) 
69;02-295;69;69;3C ;;Bn (C) 
70;02-295;70;70;2C ;;Bn (C) 
71;02-295;71;71;2C ;;Bn (C) 
72;02-295;72;72;D3C;;Bn (C) 
73;02-295;73;73;3C ;;Bn (C) 
74;02-295;74;74;3C ;;Bn (C) 
75;02-295;75;75;3C ;;Bn (C) 
76;02-295;76;76;3C ;;Bn (C) 
77;02-295;77;77;3C ;;Bn (C) 
78;02-295;78;78;2C ;;Bn (C) 
79;02-295;79;79;2C ;;Bn (C) 
80;02-295;80;80;D3C;;Bn (C) 
81;02-295;81;81;3C ;;Bn (C) 
82;02-295;82;82;3C ;;Bn (C) 
83;02-295;83;83;3C ;;Bn (C) 
84;02-295;84;84;3C ;;Bn (C) 
85;02-295;85;85;3C ;;Bn (C) 
86;02-295;86;86;2C ;;Bn (C) 
87;02-295;87;87;2C ;;Bn (C) 
88;02-295;88;88;D3C;;Bn (C) 
89;02-295;89;89;3C ;;Bn (C) 
90;02-295;90;90;3C ;;Bn (C) 
91;02-295;91;91;3C ;;Bn (C) 
92;02-295;92;92;3C ;;Bn (C) 
93;02-295;93;93;3C ;;Bn (C) 
94;02-295;94;94;2C ;;Bn (C) 
95;02-295;95;95;2C ;;Bn (C) 
96;02-295;96;96;D3C;;Bn (C) 
97;02-295;97;97;3C ;;Bn (C) 
98;02-295;98;98;3C ;;Bn (C) 
99;02-295;99;99;3C ;;Bn (C) 
100;02-295;100;100;3C ;;Bn (C) 
101;02-295;101;101;3C ;;Bn (C) 
102;02-295;102;102;2C ;;Bn (C) 
103;02-295;103;103;2C ;;Bn (C) 
104;02-295;104;104;D3C;;Bn (C) 
105;02-295;105;105;3C ;;Bn (C) 
106;02-295;106;106;3C ;;Bn (C) 
107;02-295;107;107;3C ;;Bn (C) 
108;02-295;108;108;3C ;;Bn (C) 
109;02-295;109;109;3C ;;Bn (C) 
110;02-295;110;110;2C ;;Bn (C) 
111;02-295;111;111;2C ;;Bn (C) 
112;02-295;112;112;D3C;;Bn (C) 
113;02-295;113;113;3C ;;Bn (C) 
114;02-295;114;114;3C ;;Bn (C) 
115;02-295;115;115;3C ;;Bn (C) 
116;02-295;116;116;3C ;;Bn (C) 
117;02-295;117;117;3C ;;Bn (C) 
118;02-295;118;118;2C ;;Bn (C) 
119;02-295;119;119;2C ;;Bn (C) 
120;02-295;120;120;D3C;;Bn (C) 
121;02-295;121;121;3C ;;Bn (C) 
122;02-295;122;122;3C ;;Bn (C) 
123;02-295;123;123;3C ;;Bn (C) 
124;02-295;124;124;3C ;;Bn (C) 
125;02-295;125;125;3C ;;Bn (C) 
126;02-295;126;126;2C ;;Bn (C) 
127;02-295;127;127;2C ;;Bn (C) 
128;02-295;128;128;D3C;;Bn (C) 
129;02-295;129;129;3C ;;Bn (C) 
130;02-295;130;130;3C ;;Bn (C) 
131;02-295;131;131;3C ;;Bn (C) 
132;02-295;132;132;3C ;;Bn (C) 
133;02-295;133;133;3C ;;Bn (C) 
134;02-295;134;134;2C ;;Bn (C) 
135;02-295;135;135;2C ;;Bn (C) 
136;02-295;136;136;D3C;;Bn (C) 
137;02-295;137;137;3C ;;Bn (C) 
138;02-295;138;138;3C ;;Bn (C) 
139;02-295;139;139;3C ;;Bn (C) 
140;02-295;140;140;3C ;;Bn (C) 
141;02-295;141;141;3C ;;Bn (C) 
142;02-295;142;142;2C ;;Bn (C) 
143;02-295;143;143;2C ;;Bn (C) 
144;02-295;144;144;D3C;;Bn (C) 
145;02-295;145;145;3C ;;Bn (C) 
146;02-295;146;146;3C ;;Bn (C) 
147;02-295;147;147;3C ;;Bn (C) 
148;02-295;148;148;3C ;;Bn (C) 
149;02-295;149;149;3C ;;Bn (C) 
150;02-295;150;150;2C ;;Bn (C) 
151;02-295;151;151;2C ;;Bn (C) 
152;02-295;152;152;D3C;;Bn (C) 
153;02-295;153;153;3C ;;Bn (C) 
154;02-295;154;154;3C ;;Bn (C) 
155;02-295;155;155;3C ;;Bn (C) 
156;02-295;156;156;3C ;;Bn (C) 
157;02-295;157;157;3C ;;Bn (C) 
158;02-295;158;158;2C ;;Bn (C) 
159;02-295;159;159;2C ;;Bn (C) 
160;02-295;160;160;D3C;;Bn (C) 
161;02-295;161;161;3C ;;Bn (C) 
162;02-295;162;162;3C ;;Bn (C) 
163;02-295;163;163;3C ;;Bn (C) 
164;02-295;164;164;3C ;;Bn (C) 
165;02-295;165;165;3C ;;Bn (C) 
166;02-295;166;166;2C ;;Bn (C) 
167;02-295;167;167;2C ;;Bn (C) 
168;02-295;168;168;D3C;;Bn (C) 
169;02-295;169;169;3C ;;Bn (C) 
170;02-295;170;170;3C ;;Bn (C) 
171;02-295;171;171;3C ;;Bn (C) 
172;02-295;172;172;3C ;;Bn (C) 
173;02-295;173;173;3C ;;Bn (C) 
174;02-295;174;174;2C ;;Bn (C) 
175;02-295;175;175;2C ;;Bn (C) 
176;02-295;176;176;D3C;;Bn (C) 
177;02-295;177;177;3C ;;Bn (C) 
178;02-295;178;178;3C ;;Bn (C) 
179;02-295;179;179;3C ;;Bn (C) 
180;02-295;180;180;3C ;;Bn (C) 
181;02-295;181;181;3C ;;Bn (C) 
182;02-295;182;182;2C ;;Bn (C) 
183;02-295;183;183;2C ;;Bn (C) 
184;02-295;184;184;D3C;;Bn (C) 
185;02-295;185;185;3C ;;Bn (C) 
186;02-295;186;186;3C ;;Bn (C) 
187;02-295;187;187;3C ;;Bn (C) 
188;02-295;188;188;3C ;;Bn (C) 
189;02-295;189;189;3C ;;Bn (C) 
190;02-295;190;190;2C ;;Bn (C) 
191;02-295;191;191;2C ;;Bn (C) 
